DATE,MONTH,cloud_cover,global_radiation,precipitation,sunshine,temp_mean,temp_min,temp_max,humidity,humidity_class
20000216,2,7,1.04,1.55,0,-13.9,-17.4,-10.4,0.96,Mid
20000217,2,6,1.68,1.16,7.8,-19.1,-21.1,-17,0.96,Mid
20000218,2,8,1.18,1.29,3.8,-16.1,-20.2,-12,0.95,Mid
20000219,2,8,1.23,2.49,0.7,-12.2,-13.2,-11.1,0.97,High
20000220,2,8,1.01,1.2,0,-15.1,-16.9,-13.2,0.96,Mid
20000221,2,6,1.42,0.08,0,-19.1,-21.3,-16.9,0.97,High
20000222,2,6,1.34,0.1,4.1,-18.3,-22,-14.5,0.69,Low
20000223,2,7,1.16,0.23,0,-17.1,-18.9,-15.2,0.94,Mid
20000224,2,4,1.72,0.18,8.4,-12,-17.2,-6.7,0.7,Low
20000225,2,7,1.2,1.95,0,-6.7,-8.6,-4.8,0.89,Mid
20000226,2,2,1.89,0,10.4,-10.4,-12.3,-8.4,0.52,Low
20000227,2,1,1.94,0,10.1,-9.7,-13,-6.4,0.28,Low
20000228,2,0,1.98,0,10.5,-6.3,-8.6,-4,0.41,Low
20000229,2,6,1.62,0.77,5.4,-8.8,-10.5,-7,0.82,Low
20000301,3,8,0.86,1.22,0,-10.1,-11,-9.2,0.98,High
20000302,3,8,1.43,0.41,0,-14.4,-18,-10.8,0.9,Mid
20000303,3,5,1.64,0,6.1,-13.3,-18.4,-8.2,0.93,Mid
20000304,3,7,1.63,1.59,4.6,-12.6,-15.9,-9.2,0.94,Mid
20000305,3,8,1.76,0.76,1,-18.3,-20.8,-15.7,0.93,Mid
20000306,3,1,2.12,0,11.1,-14.5,-20,-9,0.54,Low
20000307,3,3,2.09,0,10.1,-7.6,-9.5,-5.6,0.42,Low
20000308,3,6,1.51,1.03,1.1,-7,-9.3,-4.6,0.97,High
20000309,3,6,1.39,2.85,0,-4.1,-5.5,-2.6,0.96,Mid
20000310,3,8,1.76,2.98,0.4,-7.6,-9.9,-5.2,0.97,High
20000311,3,5,1.64,2.06,6.6,-7,-9.8,-4.1,0.9,Mid
20000312,3,3,2.46,0,9,-9.1,-12,-6.2,0.68,Low
20000313,3,2,2.58,0.11,11.3,-8.4,-10.3,-6.4,0.6,Low
20000314,3,7,1.54,1.67,1,-8.2,-10.2,-6.2,0.96,Mid
20000315,3,8,1.8,1.65,0,-12.7,-17.8,-7.5,0.96,Mid
20000316,3,8,0.74,3.36,0,-15.6,-18.2,-12.9,0.96,Mid
20000317,3,8,0.81,5.08,0,-12.8,-15,-10.5,0.97,High
20000318,3,8,1.84,1.79,2.1,-12.9,-14.5,-11.2,0.96,Mid
20000319,3,8,1.38,1.49,0,-13.9,-15.8,-12,0.97,High
20000320,3,3,2.51,0,9.1,-16.1,-18.8,-13.3,0.6,Low
20000321,3,1,2.7,0,11,-12.1,-15.4,-8.8,0.52,Low
20000322,3,1,2.89,0,11.6,-6.8,-9.8,-3.8,0.53,Low
20000323,3,4,2.45,0,10.1,-6.5,-9,-4,0.6,Low
20000324,3,7,1.68,0.26,2.5,-3.9,-6.3,-1.4,0.93,Mid
20000325,3,8,1.48,0.32,0,-6.5,-8.5,-4.4,0.98,High
20000326,3,7,1.29,0.65,0.3,-7.8,-9.5,-6,0.97,High
20000327,3,8,1.08,1.13,0,-8.1,-10.8,-5.3,0.98,High
20000328,3,6,2.24,0.46,3.5,-10.2,-12.6,-7.8,0.96,Mid
20000329,3,8,0.95,1.72,0,-8.5,-10.8,-6.2,0.97,High
20000330,3,8,1.68,1.29,0,-10.5,-12.4,-8.6,0.95,Mid
20000331,3,7,1.94,0.23,4.1,-10.7,-13,-8.3,0.96,Mid
20000401,4,8,2.1,0.76,1.1,-9,-11.3,-6.7,0.94,Mid
20000402,4,6,2.4,0,6.5,-10.8,-13,-8.6,0.96,Mid
20000403,4,8,1.12,0.27,0,-8.2,-10.1,-6.3,0.97,High
20000404,4,6,0.64,0,0,-7.3,-8.3,-6.2,0.96,Mid
20000405,4,7,2.05,0.39,0,-7.8,-9.5,-6.1,0.91,Mid
20000406,4,8,2.17,0.69,0,-11.2,-14.8,-7.5,0.95,Mid
20000407,4,3,3.13,0.41,11.7,-15,-18.5,-11.5,0.71,Low
20000408,4,5,3.08,0,9.7,-13.2,-14.8,-11.5,0.7,Low
20000409,4,6,2.36,0.04,6.1,-9.9,-11.9,-7.9,0.98,High
20000410,4,7,2.16,0,2.8,-9.6,-11.1,-8,0.99,High
20000411,4,7,1.7,0.17,0,-9,-11.2,-6.8,0.96,Mid
20000412,4,8,1.97,1.79,0,-8.4,-9.3,-7.5,0.96,Mid
20000413,4,8,1.11,0.7,0,-7.8,-9.2,-6.4,0.97,High
20000414,4,7,1.96,0.02,0,-6.7,-8,-5.4,0.99,High
20000415,4,8,1.78,1.12,5.5,-5.8,-7.5,-4,0.98,High
20000416,4,6,2.58,0.05,0,-8.5,-12,-5,0.97,High
20000417,4,7,2.03,0.03,0,-5.4,-7.6,-3.2,0.96,Mid
20000418,4,8,1,1.01,0,-3.7,-5.5,-1.9,0.97,High
20000419,4,7,2.58,0.37,7.5,-2.1,-4,-0.2,0.98,High
20000420,4,2,3.71,0,13.1,-1.7,-3.2,-0.2,0.87,Mid
20000421,4,2,3.6,0,11.9,-1.7,-4,0.6,0.74,Low
20000422,4,3,3.78,0,11.7,-0.9,-2.6,0.8,0.78,Low
20000423,4,3,3.73,0,13,1.1,-1,3.2,0.75,Low
20000424,4,8,2.35,0.86,2,-2.3,-6,1.4,0.97,High
20000425,4,3,3.63,0,11.7,-3.5,-6.5,-0.4,0.86,Low
20000426,4,1,3.87,0,14,-0.5,-2.9,2,0.8,Low
20000427,4,5,2.57,0,4.9,0.7,-0.7,2,0.76,Low
20000428,4,7,2.38,0,1.4,-1.4,-3.2,0.4,0.85,Low
20000429,4,8,1.48,0.16,0,-2.7,-4.3,-1,0.98,High
20000430,4,7,1.85,0.02,0,-1.2,-3,0.7,0.9,Mid
20000501,5,7,3.24,0,7.2,-1.2,-3.3,1,0.96,Mid
20000502,5,6,2.45,0.01,3.7,-0.9,-3,1.2,0.93,Mid
20000503,5,3,3.12,0.4,6.8,-1,-3.1,1.2,0.79,Low
20000504,5,6,2.07,0.73,1.2,-0.2,-2.5,2.2,0.97,High
20000505,5,6,2.4,0,6.2,-0.3,-3.1,2.6,0.91,Mid
20000506,5,6,2.19,0,0,-1.3,-2.6,0.1,0.94,Mid
20000507,5,8,1.41,0.81,0,-1.3,-3.1,0.6,0.97,High
20000508,5,7,1.9,0.34,0,-0.7,-2.5,1.1,0.97,High
20000509,5,3,3.44,0,12,1.1,-1.7,3.8,0.81,Low
20000510,5,3,3.44,0.16,11.8,2.5,-0.8,5.8,0.81,Low
20000511,5,6,3.44,0,12.3,3.1,-0.2,6.4,0.67,Low
20000512,5,7,1.71,0.7,3.6,1.7,-0.5,3.9,0.97,High
20000513,5,7,2.67,0.25,2.8,-0.6,-2,0.8,0.98,High
20000514,5,1,3.94,0,14,-0.2,-2.7,2.4,0.64,Low
20000515,5,1,3.63,0,14.4,2.2,-1.2,5.5,0.59,Low
20000516,5,5,3.35,0.62,11.1,2.1,0,4.2,0.9,Mid
20000517,5,5,2.61,0,8.3,2.7,-0.6,5.9,0.74,Low
20000518,5,8,1.09,0.27,0,0.6,-1.1,2.3,0.95,Mid
20000519,5,5,2.82,2.09,7.9,-3.8,-8.5,0.9,0.91,Mid
20000520,5,7,2.63,1.28,3.6,-7.3,-9.2,-5.4,0.93,Mid
20000521,5,3,3.59,0.34,9.9,-6.4,-10.8,-2,0.86,Low
20000522,5,6,2.95,0.8,4.6,-5.4,-8,-2.8,0.96,Mid
20000523,5,4,3.76,0,10.7,-4.9,-8,-1.8,0.9,Mid
20000524,5,4,3.29,0,10.3,-0.1,-3.4,3.2,0.66,Low
20000525,5,4,3.23,0.05,9.8,2,-1.3,5.3,0.69,Low
20000526,5,8,2.14,0,0,1.5,0.4,2.6,0.97,High
20000527,5,5,2.4,0,3.8,1.4,0.2,2.6,0.87,Mid
20000528,5,8,1.2,0.79,0,0.3,-0.8,1.3,0.96,Mid
20000529,5,8,1.59,0.2,0,-3,-5.6,-0.4,0.97,High
20000530,5,6,2.37,0.31,4.5,-5.4,-8.2,-2.5,0.96,Mid
20000531,5,8,2.63,0.85,3.2,-2.4,-4.3,-0.4,0.97,High
20000601,6,2,3.99,0,13.8,-1.9,-6.6,2.8,0.64,Low
20000602,6,6,2.77,0,9,5.1,1.9,8.2,0.7,Low
20000603,6,6,2.2,2.15,4.4,5.1,3.3,6.8,0.79,Low
20000604,6,4,2.45,0.7,7.5,6.1,2.7,9.4,0.9,Mid
20000605,6,5,2.45,0.17,7.9,4.1,1.8,6.4,0.88,Mid
20000606,6,6,2.75,1.12,8,4.7,1.4,8,0.88,Mid
20000607,6,8,2.61,0,0,-0.6,-3.1,1.9,0.98,High
20000608,6,7,2.54,0,9.6,1.1,-2.4,4.5,0.97,High
20000609,6,4,2.64,0,9.7,4.5,1.2,7.8,0.81,Low
20000610,6,3,3.64,0.01,13.1,5.7,2.9,8.5,0.74,Low
20000611,6,8,0.97,0.05,0,4.2,1.8,6.6,0.99,High
20000612,6,5,3.37,0.03,11.4,6.7,2.1,11.3,0.78,Low
20000613,6,6,1,0.41,2.9,5.1,3.4,6.7,0.95,Mid
20000614,6,4,1.67,0.82,6.9,5.5,1.8,9.2,0.85,Low
20000615,6,7,2.44,1.71,2.3,2.5,0.7,4.2,0.97,High
20000616,6,7,2.04,0.65,0,-0.9,-2.8,1,0.98,High
20000617,6,4,1.98,0,7.9,-4.8,-6.8,-2.7,0.91,Mid
20000618,6,3,4.08,0,12.2,0,-4.5,4.5,0.42,Low
20000619,6,1,4.03,0,14.4,4.3,1,7.6,0.74,Low
20000620,6,1,3.24,0.38,13.2,7.5,3.9,11,0.56,Low
20000621,6,5,2.42,1.73,8,6.3,4,8.6,0.83,Low
20000622,6,3,3.95,0.08,12.7,7.6,4,11.1,0.73,Low
20000623,6,8,1.49,3.1,3.3,3.9,-1,8.8,0.94,Mid
20000624,6,8,2.65,2.12,3.7,0.1,-2.6,2.8,0.98,High
20000625,6,8,2.63,1.19,0,-2.8,-5.2,-0.3,0.95,Mid
20000626,6,7,3.34,0,8,-3.4,-6.4,-0.3,0.96,Mid
20000627,6,2,4.4,0,13.7,-2.3,-5.8,1.2,0.58,Low
20000628,6,7,2.33,0.43,7.3,1.1,-1.3,3.4,0.91,Mid
20000629,6,7,2.03,0.68,1.9,-1.6,-3.5,0.3,0.95,Mid
20000630,6,7,2.74,0,7.3,0.9,-2.1,3.8,0.97,High
20000701,7,7,2.27,0.45,4.6,2.6,-0.3,5.4,0.93,Mid
20000702,7,5,3.63,0.23,12.5,5,1.6,8.3,0.84,Low
20000703,7,6,1.81,0.24,6.9,6.2,4,8.4,0.89,Mid
20000704,7,7,1.42,1.54,3.6,4.3,1.8,6.8,0.92,Mid
20000705,7,8,1.41,0.54,0,2.6,0.4,4.8,0.98,High
20000706,7,6,3.35,0,10.4,4.9,1.6,8.2,0.93,Mid
20000707,7,7,2.02,0.93,5.4,6.1,3.3,8.8,0.95,Mid
20000708,7,8,1.36,1.62,0.9,0.5,-2.3,3.3,0.97,High
20000709,7,5,2.35,0.29,4.2,-3.5,-6,-1,0.95,Mid
20000710,7,8,1.15,0.88,0,-0.3,-1.6,1.1,0.97,High
20000711,7,7,1.88,2.67,3.5,-1.7,-3.7,0.3,0.98,High
20000712,7,8,3.06,1.45,0,-2.4,-5.3,0.6,0.94,Mid
20000713,7,6,2.87,0.03,6.7,-4.9,-6.7,-3,0.95,Mid
20000714,7,8,1.71,2.31,0,-2.2,-4.8,0.5,0.97,High
20000715,7,8,2.05,1.04,0,-1.6,-5.2,2,0.95,Mid
20000716,7,8,2.47,0.86,0,-4.4,-6.4,-2.4,0.93,Mid
20000717,7,5,3.46,1.25,9.2,-3.5,-6.8,-0.2,0.91,Mid
20000718,7,6,2.48,0,5.3,-2.1,-4.2,0,0.91,Mid
20000719,7,5,2.12,0.19,1.9,-1.6,-3.9,0.8,0.94,Mid
20000720,7,5,2.94,0.03,5.5,-1.8,-3.5,0,0.92,Mid
20000721,7,7,1.87,0,3.3,-1.9,-4.2,0.4,0.89,Mid
20000722,7,5,3.27,0.56,10.6,0.6,-1.6,2.7,0.86,Low
20000723,7,7,2.62,0.44,7,3.1,0,6.2,0.89,Mid
20000724,7,8,0.91,0.31,0,3.4,2.8,3.9,0.98,High
20000725,7,8,1.25,0.18,1,2.2,0.5,3.8,0.99,High
20000726,7,8,1.23,0.85,1.7,2.5,0.9,4,0.98,High
20000727,7,5,2.68,0.6,10.4,2.6,-0.9,6.1,0.85,Low
20000728,7,8,0.66,2.56,0,1.4,-1.6,4.4,0.97,High
20000729,7,7,2.35,2.33,4.6,-1.3,-2.9,0.4,0.93,Mid
20000730,7,8,2.29,0.88,7.7,-1.2,-2.6,0.2,0.95,Mid
20000731,7,7,2.36,0,0,-0.5,-1.9,1,0.91,Mid
20000801,8,1,3.42,0,13.9,2.3,-1,5.5,0.87,Mid
20000802,8,3,2.21,0.01,8.5,5.8,2.4,9.1,0.77,Low
20000803,8,6,0.85,1.28,0,3.9,2.4,5.3,0.96,Mid
20000804,8,8,0.59,1.33,0,1.8,0,3.6,0.97,High
20000805,8,8,0.77,2.69,0,1.4,0.1,2.6,0.97,High
20000806,8,8,1.95,1.05,3.3,1.1,-0.9,3,0.96,Mid
20000807,8,8,1.13,0.93,0,-0.6,-1.1,0,0.99,High
20000808,8,6,2.24,0.33,5.2,-0.1,-1.7,1.6,0.95,Mid
20000809,8,7,1.7,0,2.5,2.2,0.1,4.3,0.96,Mid
20000810,8,3,2.35,0,8.3,3.5,0.4,6.5,0.83,Low
20000811,8,1,3.59,0,13.9,3.9,2.1,5.7,0.76,Low
20000812,8,5,1.74,0,5.2,5.2,3.1,7.3,0.74,Low
20000813,8,7,2.24,0.01,5.9,5.5,2,9,0.91,Mid
20000814,8,3,3.48,0,12.6,4.5,2,7,0.84,Low
20000815,8,1,2.99,0,14,4.2,2,6.3,0.71,Low
20000816,8,5,1.81,0.63,5.8,7.9,3.9,11.8,0.89,Mid
20000817,8,4,2.61,1.78,9.8,7.2,3.5,10.8,0.81,Low
20000818,8,4,2.42,0,9.2,6.9,4.2,9.5,0.76,Low
20000819,8,4,2.54,0,8.9,6.9,4.4,9.3,0.74,Low
20000820,8,1,3.35,0,12.5,7.9,5.4,10.4,0.63,Low
20000821,8,2,3.23,0,10.2,8.5,6.4,10.6,0.64,Low
20000822,8,4,2.67,0,11.4,6.5,3.5,9.5,0.8,Low
20000823,8,4,2.34,0,10.1,6.2,3.4,9,0.77,Low
20000824,8,1,3.17,0,13.3,5.8,3.6,7.9,0.58,Low
20000825,8,4,2.99,0,11.6,3.7,0.3,7,0.81,Low
20000826,8,2,3.11,0,13.4,5.7,2.4,9,0.58,Low
20000827,8,6,2.12,1.76,7.3,7.2,3.2,11.2,0.77,Low
20000828,8,8,0.37,1.05,0,0.9,-1.4,3.2,0.96,Mid
20000829,8,7,2.52,0,9,-0.5,-4.2,3.2,0.96,Mid
20000830,8,6,1.78,0.87,5.4,2.2,0.4,3.9,0.9,Mid
20000831,8,7,1.16,1.5,0,1.5,0.7,2.2,0.99,High
20000901,9,7,1.44,0.12,1.2,1.3,-0.3,2.8,0.98,High
20000902,9,8,0.82,0.57,0,-0.1,-2.2,2,0.99,High
20000903,9,8,1.96,0.81,5.5,-2.2,-3.5,-0.8,0.96,Mid
20000904,9,8,1.92,1.57,0,-4,-5.5,-2.5,0.98,High
20000905,9,8,1.66,1.11,0,-4.8,-6.2,-3.4,0.97,High
20000906,9,4,2.58,1.02,10.5,-4.6,-7.2,-2,0.86,Low
20000907,9,8,1.58,3.01,0.8,-3,-4.5,-1.4,0.97,High
20000908,9,3,2.8,0,12.1,-2.7,-6,0.6,0.63,Low
20000909,9,4,2.7,0,12,3.8,0.3,7.3,0.26,Low
20000910,9,1,2.72,0,12.3,4.1,2.8,5.4,0.55,Low
20000911,9,6,2.6,0,10.5,3.1,2,4.1,0.93,Mid
20000912,9,2,2.65,0,12.3,4.1,1.5,6.7,0.66,Low
20000913,9,6,1.23,0.48,3.7,3.5,1.5,5.4,0.95,Mid
20000914,9,6,1.94,0,8,2.7,0,5.3,0.84,Low
20000915,9,7,1.54,0,3.4,3.6,1.4,5.8,0.92,Mid
20000916,9,7,1.2,1.26,4.2,1.1,-2,4.2,0.9,Mid
20000917,9,8,1.23,0.23,0.5,-1.8,-3.7,0.2,0.98,High
20000918,9,5,1.41,0,5,-0.3,-2.4,1.8,0.98,High
20000919,9,6,1,0.08,3,0.4,-0.4,1.2,0.94,Mid
20000920,9,6,0.91,2.43,3.4,1.8,-0.2,3.7,0.94,Mid
20000921,9,8,1.26,1.63,0.6,-1.3,-5.2,2.6,0.97,High
20000922,9,8,1.04,0,0,-3.7,-5.3,-2,0.96,Mid
20000923,9,0,2.64,0,12.2,-3.7,-5.8,-1.6,0.64,Low
20000924,9,3,2.6,0,12.5,-1.1,-2.5,0.4,0.67,Low
20000925,9,5,1.69,0,6.6,-1.1,-2.6,0.5,0.8,Low
20000926,9,5,2.22,0,7.4,1.8,-0.4,4,0.79,Low
20000927,9,3,1.91,0,8.7,2.3,0,4.5,0.88,Mid
20000928,9,5,1.42,0,7.4,2.4,0.9,3.8,0.8,Low
20000929,9,4,1.73,0,8.4,0.6,-0.7,1.9,0.67,Low
20000930,9,8,0.66,0.57,0,-0.3,-1.6,1,0.98,High
20001001,10,8,0.85,1.9,0,-1,-2.1,0.2,1,High
20001002,10,8,1.05,0.78,0,-1.3,-2.2,-0.4,0.97,High
20001003,10,8,0.99,0.54,0,-3.4,-5.8,-1,0.97,High
20001004,10,8,1.35,0.1,0,0.1,-1.6,1.8,0.99,High
20001005,10,5,2.01,0.23,9.6,-0.4,-2,1.2,0.7,Low
20001006,10,8,0.67,1.5,0,-4.3,-7.8,-0.8,0.99,High
20001007,10,8,0.94,3.43,0,-8.6,-9.9,-7.2,0.98,High
20001008,10,8,0.95,0.32,0,-6,-10,-1.9,0.96,Mid
20001009,10,6,1.07,0.91,0.1,-4.4,-6.2,-2.5,0.97,High
20001010,10,7,0.85,0.96,0,-5.7,-7.4,-3.9,0.96,Mid
20001011,10,8,0.74,2.7,0,-5.2,-6.7,-3.7,0.97,High
20001012,10,8,0.55,1.3,0,-2.3,-4,-0.6,0.97,High
20001013,10,8,0.38,0.49,0,-0.5,-1.2,0.2,0.98,High
20001014,10,5,0.64,0.04,0,1,-0.2,2.2,0.98,High
20001015,10,5,1.85,0.09,8.7,0.6,-0.4,1.6,0.93,Mid
20001016,10,6,1.18,0,2.1,-2.6,-5,-0.1,0.97,High
20001017,10,7,0.97,0.1,2.6,-1.9,-5.1,1.4,0.86,Low
20001018,10,8,0.78,1.17,0,-3,-4.2,-1.7,0.97,High
20001019,10,8,0.88,0.37,0,-3.3,-4.5,-2,0.95,Mid
20001020,10,1,1.73,0,9.2,-1.9,-3.6,-0.2,0.81,Low
20001021,10,1,1.75,0,10.6,-1.3,-3.9,1.3,0.38,Low
20001022,10,1,1.72,0,10,-0.4,-1.5,0.8,0.51,Low
20001023,10,0,1.72,0,10.2,0.6,-1.4,2.6,0.31,Low
20001024,10,3,1.6,0,9.5,-0.8,-1.5,0,0.64,Low
20001025,10,3,1.52,0,7.7,-1.5,-3.2,0.2,0.85,Low
20001026,10,5,1.23,0.12,8.1,-1.7,-3,-0.4,0.78,Low
20001027,10,3,1.42,0.19,7.1,-4.9,-6.8,-3,0.85,Low
20001028,10,4,1.33,0,7.8,-3.2,-5.6,-0.8,0.89,Mid
20001029,10,3,1.25,0,7.8,-1.8,-3.4,-0.1,0.88,Mid
20001030,10,5,0.74,0.64,0.5,-4.6,-5.8,-3.3,0.99,High
20001031,10,8,0.32,1.88,0,-3.3,-4,-2.6,0.98,High
20001101,11,7,1.08,0,1.5,-6.5,-9.3,-3.7,0.96,Mid
20001102,11,7,0.8,1.01,0,-8.6,-10.2,-7,0.97,High
20001103,11,8,0.37,3.29,0,-5.7,-7.6,-3.7,0.98,High
20001104,11,8,0.84,0.92,0,-7.6,-11.3,-3.8,0.96,Mid
20001105,11,6,0.98,0.95,3.6,-10.1,-11.6,-8.6,0.94,Mid
20001106,11,8,0.39,3.24,0,-8.1,-10.6,-5.6,0.94,Mid
20001107,11,8,0.67,1.76,0,-7.3,-9,-5.6,0.94,Mid
20001108,11,8,0.68,0.47,0,-9.2,-9.6,-8.8,0.94,Mid
20001109,11,5,1.27,0.03,7.7,-10.7,-11.9,-9.4,0.94,Mid
20001110,11,5,0.8,0.04,0.2,-9.6,-11.8,-7.4,0.9,Mid
20001111,11,5,1.22,0,6.4,-11.6,-12.9,-10.2,0.76,Low
20001112,11,5,1.2,0.28,8.7,-8,-10.4,-5.5,0.76,Low
20001113,11,7,0.71,0.62,0,-5.2,-7,-3.4,0.97,High
20001114,11,8,0.28,1.14,0,-3,-4,-2,0.97,High
20001115,11,7,0.66,1.8,0,-5.1,-7.5,-2.6,0.96,Mid
20001116,11,8,0.35,2.07,0,-5.4,-7.7,-3,0.97,High
20001117,11,8,0.35,1.73,0,-4.5,-6,-3,0.97,High
20001118,11,8,0.48,1.24,0,-7.2,-8.6,-5.8,0.97,High
20001119,11,2,0.96,0,5.9,-9,-11.4,-6.5,0.65,Low
20001120,11,7,0.52,1.63,1.3,-8.6,-9.5,-7.6,0.87,Mid
20001121,11,8,0.4,2.04,0.9,-7.6,-9.1,-6,0.97,High
20001122,11,5,0.55,0,1.6,-7.8,-9.6,-6,0.84,Low
20001123,11,6,0.59,0,0,-6.1,-7.2,-4.9,0.95,Mid
20001124,11,8,0.33,1.07,0,-6.4,-7.3,-5.5,0.97,High
20001125,11,8,0.53,0.58,0,-7.6,-9.5,-5.7,0.97,High
20001126,11,6,0.84,1.33,5,-11.1,-12.8,-9.4,0.86,Low
20001127,11,8,0.67,0.44,0,-13.6,-14.8,-12.4,0.97,High
20001128,11,7,0.59,0.33,0,-8.2,-14,-2.3,0.94,Mid
20001129,11,3,0.92,0,6.6,-0.3,-2.3,1.7,0.27,Low
20001130,11,5,0.68,0,0.8,-0.5,-1.9,1,0.3,Low
20001201,12,1,0.93,0,8.6,-2,-2.7,-1.3,0.39,Low
20001202,12,6,0.61,0,2.5,-3.8,-5.1,-2.5,0.51,Low
20001203,12,6,0.61,0.06,0,-4.6,-6.2,-3,0.88,Mid
20001204,12,2,0.89,0,8,-4.8,-6.2,-3.4,0.78,Low
20001205,12,1,0.88,0,8.8,-5.2,-7.2,-3.2,0.59,Low
20001206,12,1,0.88,0,8.5,-2.2,-4.2,-0.2,0.22,Low
20001207,12,6,0.78,0,7.3,-3.7,-6.6,-0.7,0.87,Mid
20001208,12,8,0.37,0.93,0,-4.9,-5.7,-4,0.98,High
20001209,12,8,0.34,0.27,0,-5.2,-6.3,-4,0.98,High
20001210,12,3,0.87,0.85,6.7,-7.4,-8.4,-6.3,0.94,Mid
20001211,12,5,0.78,0.16,5.7,-6.1,-8.2,-3.9,0.69,Low
20001212,12,3,0.67,0,4.3,-3.4,-4.8,-1.9,0.76,Low
20001213,12,6,0.49,0,2.2,-2.4,-4.7,0,0.78,Low
20001214,12,6,0.54,0.61,1.3,-7,-9.4,-4.6,0.8,Low
20001215,12,8,0.32,3.62,0,-10.8,-14.3,-7.2,0.97,High
20001216,12,7,0.54,0.49,0,-15.3,-16.5,-14,0.94,Mid
20001217,12,6,0.72,0.21,0,-14,-16.3,-11.6,0.95,Mid
20001218,12,3,0.8,0.38,1.9,-13.4,-15.5,-11.2,0.94,Mid
20001219,12,8,0.47,1.77,0,-10.7,-13,-8.4,0.96,Mid
20001220,12,0,0.91,0,7.7,-11.8,-13.9,-9.7,0.6,Low
20001221,12,0,0.9,0,8.7,-11,-13,-9,0.22,Low
20001222,12,0,0.9,0,8.8,-10.3,-11.5,-9,0.24,Low
